title,chapter_number,summary
...And into the Fire!,11,"The cover features Chi-Chi, Goku riding the Flying Nimbus and three pictures in the background. The three pictures are Yamcha and Puar in the Mighty Mouse, Oolong in the car Yamcha gave him driving away from a shadow of the Ox-King and the last picture is of Fire Mountain.
 Goku and Bulma learning about Fry-Pan Mountain Two days after the Dragon Team received the new car from Yamcha, they finally end up at Fire Mountain. Once they see it in the distance, Oolong tells Goku and Bulma about how the castle at the top is guarded by the Ox-King who cannot get into the castle himself and kills anybody who goes near it.
 Yamcha beating the powerful young girl Yamcha and Puar who are approaching as well come in contact with a seemingly defenseless young girl running away from a T-Rex. The girl then throws the blade of her helmet at the dinosaur decapitating it then blowing up the remains with a laser coming from her helmet as well. When she sees Yamcha, she tries to attack him in fear but he easily knocks her out since he is not shy of girls that are too young.
 The Ox-King asking Goku where his cloud came from Over at the base of Fire Mountain, Goku goes off on the Flying Nimbus to try to look for a way to get to the castle. While Bulma and Oolong are left behind they encounter the Ox-King asking what they are doing near his area and if there after his treasure. While they are scared, they try to convince him that they are not but Goku quickly comes back explicitly saying that he cannot find a way to break into the castle. Rather than attacking them, the Ox-King asks if he got that cloud from his martial arts master Roshi the turtle hermit.
"
In Search of Kame-Sen'nin,12,"The cover (originally published with the following chapter) features Goku looking at Master Roshi who is holding the Bansho Fan.
 The Ox-King showing a picture of Chi-Chi After seeing Goku's Power Pole, the Ox-King tells him that his Grandpa Gohan trained alongside him under Master Roshi. The Ox-King agrees to give up the Dragon Ball if Goku can go find his daughter Chi-Chi and get the Bansho Fan from Master Roshi. Yamcha and Puar who are listening behind some ruble quickly leave the scene when they find out the girl he knocked out earlier was Chi-Chi and rush back over to her to see if she is okay. When she wakes up, she begins to take aim using her helmet but Yamcha pretends to have been in love with her to prevent being on her bad side.
 Goku's weakness of being grabbed by the tail is revealed. Yamcha runs away just as Goku goes over to Chi-Chi and tells her that he was sent to help her get to Master Roshi. Chi-Chi is able to get onto the Flying Nimbus but weakens Goku briefly when she pulls his tail, revealing a weakness to Yamcha who witnesses it from a nearby distance. While flying over the Diablo Desert, Goku decides to ""Pat-Pat"" Chi-Chi to confirm she is a girl. After Chi-Chi hits Goku for it, she secretly begins to fall in love with him.
 Goku and Chi-Chi arrive at Master Roshi's Island Once they get to the ocean, they get directions to Master Roshi's House, from a talking Dolphin. Once arriving at the house, Goku says hello to Master Roshi and Umigame.
 Bulma's leggings missing in two panels  "
Fanning the Flame,13,"This chapter does not feature a cover page, but a two-page artwork, which was later included in the Akira Toriyama - The World and Akira Toriyama - The World Special artbooks, was featured in the Shonen Jump in which this chapter premiered.
 ""What?! The Bashō-Sen?! The magic fan that can raise a typhoon with a single wave, a thunderstorm with two and a monsoon with three?! That Bashō-Sen?!""
— Master Roshi
 Chi-Chi throws her helmet-knife at Master Roshi After arriving at Kame House, Goku and Chi-Chi see Master Roshi. When Goku introduces Chi-Chi to Master Roshi, he makes a comment saying that he would have preferred Bulma to have come with him instead because her breasts were bigger and that the name Chi-Chi was more appropriate for her. Chi-Chi who seems to not believe that he was not Master Roshi decides to take the blade out of her helmet and throw it at Roshi saying that if he can dodge it that it must really be him. Roshi turns around at the last second to try and block it with his cane, but the blade cuts through it and hits him and gets stuck in his head. Afterwards, Roshi shows her his drivers license to prove its him which she then apologizes and pulls the blade out of his head causing him more pain.
 Goku, Turtle and Chi-Chi shocked the Bansho Fan was thrown away Once they request that they want to borrow the Bansho Fan to Roshi, he looks in his house for it but Umigame reminded him that he was using it as a potholder and threw it out after he spilled wonton soup on it. Instead, Roshi decides that he will journey to Fry-Pan Mountain himself to put the flames out. In exchange for putting the flames out for them though, Roshi privately sets up a deal with Goku to allow him to feel Bulma's breasts. When Goku and Chi-Chi get back on the Flying Nimbus to head back, Master Roshi summons the flying Baby Gamera to take him to Fry-Pan Mountain. Once they get back to Fry-Pan Mountain to meet back up with everyone, Roshi arrives but is dizzy from riding Baby Gamera and vomits.
 Original title page of Chapter 13 as seen in the Weekly Shōnen Jump issue"
Kame Kame Kame Kame Kame Chameleon,14,"

Kame Kame Kame Kame Kame Chameleon





							Full Color
							
						



							Kanzenban
							
						



							Tankōban
							
						



							Viz
							
						

































Chapter Details

Chapter #
14


Volume
2


Kanji title
亀仙人のかめはめ波！！


Rōmaji title
Kame-Sen'nin no Kamehameha!!


Translated title
Kame-Sen’nin’s Kamehameha!!


Release date
March 5, 1985


English release
March 2003


Saga
Emperor Pilaf Saga


Episode counterpart
8



Chapter Chronology

Previous
Fanning the Flame


Next
At Sixes and Sevens



""Kame Kame Kame Kame Kame Chameleon"" (亀仙人のかめはめ波！！, Kame-Sen'nin no Kamehameha!!, lit. ""Kame-Sen’nin’s Kamehameha!!"") is the fourteenth chapter of the Dragon Ball manga.
 The cover features Bulma with a Shotgun on her back and Oolong riding on a Pterodactyl following Goku who is on the Flying Nimbus.
 Roshi fires his MAX Power Kamehameha After arriving at Fire Mountain, Master Roshi decides to put out the flames himself but first lectures the Ox-King of his misdoings of killing people over treasure at which the Ox-King bows down and apologizes, promising to change his ways. Just before getting ready to put the flames out he brings Goku and Bulma to the side and discusses the deal that in exchange for putting the fire out, Bulma must allow him to touch her breasts, which Bulma unhappily agrees to.
 Roshi prepares to destroy the flames by removing his shirt and Turtle Shell revealing what looks to be an old weak upper body. While he is comically trying to climb a wall to stand on, he receives help from Goku. While standing on top of the wall Roshi prepares for his attack which instantly turns him into a muscular giant and shoots his signature attack, the Kamehameha straight at the flaming mountain. After the attack is finished, everyone is amazed but it is revealed that Master Roshi had also destroyed the castle and mountain.
 Roshi fires his MAX Power Kamehameha"
At Sixes and Sevens,15,"The cover features Goku holding a three-section staff in one of his signature martial art poses.
 After Master Roshi fires The Original Kamehameha at Fire Mountain in an attempt to put out the fire, he also destroys the Ox-King's castle by mistake. After this Roshi then reminds Bulma of the favor Goku said she would do (if he was to put out the fire on Fire Mountain, he then would be able to ""poke"" Bulma's chest). Bulma then went over to Oolong begging him to shape shift into a form looking like herself, and have him do it. Oolong agrees, but when Roshi comes over to receive his favor, Oolong lets him do much more with his chest as a punishment to Bulma. Goku is still amazed by Roshi's Kamehameha wave, and asks if he can be taught to do it also. Roshi explains it is a technique hat takes 50 years to learn. Goku then walks over to the car Yamcha had given Bulma, Oolong, and Goku. Goku then copies the way Roshi did the Kamehameha wave and manages to cause serious damage to the car by blowing out the tires and dent the car immensely. Then Ox-King gives them a new car, and the search for the Dragon Balls continues.
"
"One Goal, One Enemy",16,"The cover shows Goku, Oolong, and Bulma driving on a path through a forest of mushrooms of assorted heights.
 Heading westward on their hunt for the last Dragon Ball, Goku, Bulma, and Oolong drive through a strange forest of mushrooms. None of them know where they are, and Oolong notices that they are running out of fuel. Meanwhile, Yamcha and Pu'ar tail them in their own car, still planning to steal their Dragon Balls.
 Goku uses his speed to evade the Rabbit Mob member The trio manage to find a village, but upon entering it they noticed that all of the citizens seem to be afraid of Bulma. Undeterred, they stop at a gas station. While the car is being filled, Bulma leaves to shop for some capsules. The gas station attendant and capsule salesman are both visibly distraught, and provide their products free of charge. By this time Yamcha and Pu'ar are in the village as well, along with two uniformed men wearing rabbit ears.
 Deciding to see if her good fortune will continue, Bulma goes to a clothing store and buys a gypsy outfit to replace the bunny costume she had been wearing. The salesman is shocked to learn that Bulma is not a member of the Rabbit Mob, and angrily accuses her of playing a cruel joke. Bulma is confused, but notices that everyone has stopped staring. She returns to Goku and Oolong, where they see the two bunny-eared man harassing citizens. The two men approach Bulma, who realizes why people were staring earlier. She tells Goku to beat the two men up, and he gladly complies. As the two men lie defeated on the ground, one pulls out a walkie-talkie and calls his ""master,"" which sends the citizens of the village into a panic.
"
Carrot Top,17,"The cover depicts Bulma, Yamcha, Oolong, and Puar riding in a StepVan which says ""Dragon Ball"" on the side. Goku rides alongside on his Flying Nimbus. Bulma and Yamcha have guns drawn, while Goku holds the Power Pole.
 Monster Carrot arrives While Goku, Oolong, and Bulma are confused, the citizens of the village they are in flee inside their houses in horror. The two members of the Rabbit Mob that Goku defeated before get up, and one reassures the other by saying that he called ""the boss."" Bulma asks who the boss is, but the Rabbit Mob members simply say that they will be nibbled. Oolong suggests fleeing, but immediately afterwards Monster Carrot arrives in his bunny car. The two mob members identify Goku as their assailant as Bulma mocks Monster Carrot and Yamcha and Puar watches the scene from behind a house.
 Monster Carrot, rather than being hostile, offers to shake Bulma's hand. Yamcha immediately remembers his power, but Bulma slaps Monster Carrot's outstretched hand before he can do anything. Bulma turns into a carrot. Outraged, Goku jumps out of the car to attack. Oolong quickly cautions him to use the Power Pole so that he will not get turned into a carrot as well. Seeing that his magic touch will not work, Monster Carrot threatens to bite into Bulma if Goku continues to attack. Oolong takes the opportunity to flee.
 With his threat still in place, Monster Carrot orders his two mob members to beat up Goku. Yamcha and Puar decide to come to the rescue; Puar turns into a bird and steals Bulma from Monster Carrot's hand while Yamcha defeats the Rabbit Mob members. Able to fight back freely, Goku smacks Monster Carrot on the head and forces him to turn Bulma back into a human. Finally, Goku uses the Power Pole to take Monster Carrot and the Rabbit Mob members to the moon to make marshmallow treats for children. It is important to note that absolutely nothing suggests this means the moon is made of marshmallow, to say so would be baseless.
"
Who's Got My Balls?!,18,"Goku, Bulma, and Oolong are again driving through the mushroom forest. Oolong, curious to know why she wants the Dragon Balls, asks Bulma what her wish will be. Bulma tells him she will wish for the world's greatest boyfriend, which Oolong does not think is worth the trouble. Meanwhile, Mai is watching the car from atop a mushroom, and radios to Shu to attack. Shu quickly totals the car using his Pilaf Machine, and steals the suitcase containing five of the group's Dragon Balls.
 After a bit of prompting by Bulma, Goku chases after Shu on his Flying Nimbus. However, Shu has already left his Pilaf Machine, and the naive Goku believes that the empty vessel is the enemy that stole their balls. Goku returns and tells that he could not find the balls, but also notes that he still has the Four-Star Ball in his sack. Bulma plans to use the Dragon Radar to find the thieves' lair, but realizes that their capsules were in the suitcase as well.
 Having secretly watched everything unfold, Yamcha and Puar arrive to lend a hand, still wanting the balls for themselves. Bulma is clearly attracted to Yamcha, which scares him due to his fear of women. At his castle, Emperor Pilaf is upset because there were only five balls in the suitcase rather than six. As the Dragon Team approaches the castle, Mai notes that the last ball is coming their way. After entering through the front door and following an arrow on the ground, the Gang quickly find themselves trapped when a wall pops out from behind them.
  "
At Last... the Dragon!,19,"The cover page of the chapter (originally published with the previous chapter, as this chapter's title page was used as the cover for Volume 2) features the main characters of the saga in a circle, with the title in the middle of said circle. Going clockwise, starting at the top, the characters are Goku, Oolong, Yamcha, Shu, Emperor Pilaf, Mai, Puar and Bulma.
 Pilaf blows a kiss at Bulma The chapter opens with the gang stuck in Pilaf's Castle, where they are being monitored by Pilaf and his henchmen. As the gang bickers, Pilaf demands they hand over the Four-Star Dragon Ball. When Bulma refuses, a robotic arm comes out of the ceiling and takes her to Pilaf. Once again demanding the Four-Star Ball, Bulma continues to refuse (by giving him The Finger), warranting her a kiss blown to her by Pilaf, hoping it would frighten her into giving him the Dragon Ball. Because it had no effect on Bulma, Pilaf sends her back into the gang's cell. After reuniting with her friends, Pilaf gasses the chamber, causing the gang (as well as Pilaf himself) to fall asleep. As they sleep, Shu and Mai search for the remaining Dragon Ball, which they find on Goku's person.
 Shenron's first appearance Several hours later, Pilaf and his henchmen are outside the castle, preparing to summon the Eternal Dragon, Shenron. While they do so, Goku blasts a hole in the wall of the gang's cell with his Kamehameha, allowing them to peer outside. Hoping they can steal the Dragon Balls back, Puar and Oolong shapeshift into bats and fly out the hole just as Pilaf summons Shenron...
  "
Just One Wish!!,20,"The cover shows Puar, Oolong, Goku, Bulma and Yamcha standing in a single-file line, starting with the shortest (Puar) and going up to the tallest (Yamcha). The title of the chapter is to the right of the characters, going straight down the cover.
 Dragon Balls getting scattered The chapter opens with Emperor Pilaf and his henchmen summoning Shenron. As our heroes lose hope, Pilaf begins to make his wish, but is interrupted by Oolong, who wishes for a girl's panties. As everyone stares in shock, a pair of panties falls from the sky, landing on Oolong's face. Having granted the wish, Shenron disappears as the Dragon Balls scatter. Furious that his chance of world domination has been shattered, Pilaf imprisons the gang within a steel box with a super-reinforced glass roof. While the gang discusses searching for the Dragon Balls, Pilaf announces to them that they will die from the desert sun. As the gang panics, Goku remarks that he is hungry, ending the chapter.
"
Full Moon,21,"The cover features Goku, standing alone. The background is that of Pilaf's Castle and the moon.
 Goku turning a Great Ape The chapter opens with the gang trying to find a way out of the death trap, but to no avail. As Emperor Pilaf and his henchmen await morning, Puar notices the full moon. At the mention of a full moon, Goku tells the story of how a monster appears on nights of the full moon, and that his Grandpa Gohan was crushed by the monster (it was really Goku himself, but he has no recollection of the event). As he tells his story, the gang begins to realize it was Goku who crushed his grandfather. Just as they tell him not to look at the full moon, he does so, but nothing happens. As the gang takes a sigh of relief, the transformation sets in, causing Goku to turn into a giant ape, causing Pilaf and his henchmen to wake up. Just then, Goku breaks through the roof of the castle.
"
The End of the Tale,22,"The cover page features Great Ape Goku with Goku's martial arts clothes. The background is the same as the previous: Pilaf's Castle and the full moon.
 Great Ape Goku destroys Pilaf's Castle The chapter begins with Goku (as a Great Ape) rampaging through the castle, destroying anything and everything. Seeing their chance to escape, the gang makes a run for it, while Emperor Pilaf and his henchmen get away in a plane. However, Goku throws one of the castle's towers at the plane, sending it straight into the ground. Goku also throws a tower at the gang, who narrowly avoid it, with the exception of Bulma, who gets stuck underneath it. As Goku comes their way, Yamcha grabs his tail, stopping him in his tracks. Yamcha instructs Puar to turn into a pair of scissors and cut Goku's tail off, which causes the boy to revert to his regular form, leaving him naked.
 Yamcha and Puar cutting Goku's tail off"
Separate Ways,23,"The cover is quite plain, as it features our five protagonists, Goku, Bulma, Yamcha, Puar, Oolong, and a butterfly, and nothing else.
 Goku saying bye to his friends As the chapter opens, morning has arrived. The gang is sitting in the desert as Goku awakens, having no recollection of the previous night. He asks where the Power Pole is, which Yamcha directs him in the direction of the ruined castle. As the boy races towards the decrepit building, Oolong brings up the gang will probably split up because the Dragon Balls are unusable for another year. As Yamcha and Bulma contemplate not having their wishes granted, they decide to move to the city together. They ask Goku (who had returned after retrieving the Power Pole) to join them, but he declines; he plans on going to Master Roshi's to train. Goku remarks that they should search for the Dragon Balls together after the year is up, but Yamcha and Bulma no longer need them. Wanting the Four-Star Dragon Ball, Goku asks how he is supposed to search for it, which Bulma gives him the Dragon Radar for. As they say their good-byes, they promise to meet up someday. Yamcha, Bulma, Puar and Oolong depart in Yamcha's ship, while Goku takes off on the Flying Nimbus. Goku makes the remark that there are many different people in the world, which is where the chapter ends.
"
The High Price of Education,24,"The cover features Master Roshi driving a one-wheeled motorcycle. In the background, Goku is watching Roshi as he rides the Flying Nimbus.
 Goku arriving at Kame House The chapter opens with Goku flying towards Master Roshi's house, in the hopes of being trained by the man. After stopping at his own house for supplies, he continues his journey towards Kame House. When he arrives, Roshi is watching an aerobics video, not taking notice of the boy outside his house. Goku lets himself in, having to yell in Roshi's ear before he notices the boy. Goku tells the man why he is there, but he shrugs him off and tells him that there is food in the refrigerator. After his aerobics video was complete, he found Goku at the foot of the fridge, having eaten all the food. They then begin discussing Goku's training; Roshi tells Goku that his training is not free, so he must find a cute girl before he will train him. Goku takes off on Nimbus, while Roshi gets ready for his would-be date. When Goku returns, he has brought an overweight, muscular woman, much to the chagrin of Roshi.
"
A Rival Arrives!!,25,"The cover page features Master Roshi in a car, while Goku is on a hovercar alongside him. The cover is in color, and uses a red-gray-black color palette.
 Krillin's first appearance The chapter begins with Roshi discussing with Goku what kind of girl he wants the boy to bring him. After being shown a picture of Roshi's type, Goku sets off again, hoping to please Roshi this time. When he returns, Goku is revealed to have brought a beautiful woman to Kame House. Roshi, who is ecstatic, explains that Goku's first step into training is to get the woman's panties. However, the woman tells him she is only wearing a shirt, causing Roshi to get a nosebleed. Forced to show Goku how it is done, Roshi walks up to the woman, who turns out to be a mermaid. Roshi then asks if he may touch her breasts, which she replies with a swift punch to the jaw. Roshi turns this into a training lesson, in that you must take punches to get stronger.
 As they discuss getting a third woman, Goku spots a boat near the shore with a boy on it. The boy jumps out of the boat, but ends up getting his head stuck in the sand. After Goku helps pull him out, he introduces himself as Krillin and requests for Roshi to train him. Although Roshi declines the request, Krillin hands him a Dirty Magazine, forcing him to change his mind. However, he must find a pretty woman along with Goku before he takes him on as his student. As Krillin jumps onto the Flying Nimbus, he falls through the little cloud, causing him to explain his intentions of training: to be popular with girls...
"
